City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Arraial Do Cabo,BR,-22.9661,-42.0278,66.38,83,100,9.44,overcast clouds
79,Jacksonville Beach,US,30.2947,-81.3931,79.07,86,100,6.91,overcast clouds
80,Lavrentiya,RU,65.5833,-171.0,38.55,63,100,17.09,overcast clouds
81,Khasan,RU,42.4308,130.6434,60.39,82,62,8.32,broken clouds
82,Stromness,GB,58.965,-3.296,51.76,84,100,21.0,overcast clouds
83,Pevek,RU,69.7008,170.3133,41.04,58,63,2.73,broken clouds
84,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,6.91,broken clouds
85,Ajdabiya,LY,30.7554,20.2263,70.97,79,0,11.01,clear sky
86,Rocha,UY,-34.4833,-54.3333,47.39,78,0,15.17,clear sky
87,Narsaq,GL,60.9167,-46.05,50.22,91,100,3.65,light rain
88,Hayvoron,UA,48.3396,29.8679,61.38,90,57,7.4,broken clouds
89,Priyutnoye,RU,46.1011,43.5072,68.23,49,1,6.69,clear sky
90,Port Elizabeth,ZA,-33.918,25.5701,75.09,31,0,8.99,clear sky
91,Olafsvik,IS,64.8945,-23.7142,46.58,86,99,4.36,overcast clouds
92,Cayenne,GF,4.9333,-52.3333,79.09,1,0,0.0,clear sky
93,Kushmurun,KZ,52.4503,64.6311,60.94,73,59,8.05,broken clouds
94,Albany,US,42.6001,-73.9662,63.03,77,39,2.62,scattered clouds
95,Yellowknife,CA,62.456,-114.3525,61.32,67,75,12.66,light intensity shower rain
96,Tautira,PF,-17.7333,-149.15,78.48,80,45,19.93,light rain
97,Najran,SA,17.4924,44.1277,75.85,15,5,3.33,clear sky
98,Atuona,PF,-9.8,-139.0333,78.08,66,0,14.45,clear sky
99,East London,ZA,-33.0153,27.9116,72.72,28,100,14.27,overcast clouds
100,Torbay,CA,47.6666,-52.7314,56.88,79,75,14.97,broken clouds
101,Lebu,CL,-37.6167,-73.65,48.15,79,100,5.37,overcast clouds
102,Pangody,RU,65.85,74.4859,58.26,81,100,16.26,overcast clouds
103,Gombe,NG,10.2897,11.1673,78.48,70,100,3.31,light rain
104,Ahuimanu,US,21.4447,-157.8378,87.51,61,0,16.11,clear sky
105,Karasjok,NO,69.4719,25.5112,55.54,91,100,8.14,overcast clouds
106,Bengkulu,ID,-3.8004,102.2655,77.65,84,92,9.84,overcast clouds
107,Hauterive,FR,46.0901,3.4459,63.36,75,20,3.22,few clouds
108,Castro,BR,-24.7911,-50.0119,42.51,68,100,3.69,overcast clouds
109,Coquimbo,CL,-29.9533,-71.3436,53.33,82,100,12.66,overcast clouds
110,Kodiak,US,57.79,-152.4072,56.71,62,0,9.22,clear sky
111,Leningradskiy,RU,69.3833,178.4167,39.38,63,25,7.65,scattered clouds
112,Stolin,BY,51.8912,26.846,56.08,97,7,6.89,clear sky
113,Oranjemund,NA,-28.55,16.4333,57.81,61,37,3.62,scattered clouds
114,Zyryanka,RU,65.75,150.85,59.9,41,74,5.41,broken clouds
115,Solnechnyy,RU,50.7214,136.6319,72.91,36,12,6.76,few clouds
116,Thompson,CA,55.7435,-97.8558,68.16,40,40,3.44,scattered clouds
117,Ribeira Grande,PT,38.5167,-28.7,62.19,84,24,17.87,few clouds
118,Odesskoye,RU,54.2111,72.9651,65.44,58,76,13.8,broken clouds
119,Hermanus,ZA,-34.4187,19.2345,56.8,49,54,7.56,broken clouds
120,Vazhiny,RU,60.9644,34.0222,50.99,70,4,4.47,light rain
121,Omsukchan,RU,62.5333,155.8,36.75,100,100,2.3,light rain
122,Shache,CN,38.4167,77.2406,77.34,26,92,3.58,overcast clouds
123,Wasilla,US,61.5814,-149.4394,64.47,55,40,11.5,scattered clouds
124,Ambulu,ID,-8.345,113.6058,81.34,79,100,4.54,overcast clouds
125,Darhan,MN,49.4867,105.9228,67.3,48,0,8.21,clear sky
126,Airai,TL,-8.9266,125.4092,68.22,60,33,3.89,scattered clouds
127,Sungairaya,ID,0.7,108.9,84.09,71,62,0.67,broken clouds
128,Naryan-Mar,RU,67.6713,53.087,43.23,56,0,9.98,clear sky
129,Moree,AU,-29.4667,149.85,54.01,55,100,16.6,overcast clouds
130,Qena,EG,26.1615,32.7183,90.5,14,0,6.24,clear sky
131,Sitka,US,57.0531,-135.33,53.49,66,100,5.75,overcast clouds
132,Oistins,BB,13.0667,-59.5333,82.49,74,20,26.46,few clouds
133,Lorengau,PG,-2.0226,147.2712,85.64,64,94,9.33,overcast clouds
134,Bilibino,RU,68.0546,166.4372,63.05,22,100,14.9,overcast clouds
135,Shenkursk,RU,62.1091,42.896,47.32,71,57,1.07,broken clouds
136,Lincoln,US,40.8,-96.667,78.17,84,0,6.91,clear sky
137,Waingapu,ID,-9.6567,120.2641,81.84,69,98,16.8,overcast clouds
138,Dingle,PH,10.9995,122.6711,86.23,67,27,3.09,scattered clouds
139,Vancouver,CA,49.2497,-123.1193,67.21,65,75,8.05,broken clouds
140,Provideniya,RU,64.3833,-173.3,39.09,70,100,1.77,overcast clouds
141,Nurota,UZ,40.5614,65.6886,71.98,46,7,6.24,clear sky
142,Fairbanks,US,64.8378,-147.7164,70.02,35,20,10.36,few clouds
143,Lata,PT,40.1629,-8.3327,64.08,88,1,1.72,clear sky
144,Pangnirtung,CA,66.1451,-65.7125,31.59,97,96,2.98,overcast clouds
145,Nuevo Casas Grandes,MX,30.4167,-107.9167,83.75,28,100,14.0,overcast clouds
146,Yumen,CN,40.2833,97.2,73.33,9,0,8.5,clear sky
147,New Norfolk,AU,-42.7826,147.0587,45.91,79,86,3.0,overcast clouds
148,Coahuayana,MX,18.7333,-103.6833,81.27,81,66,2.86,broken clouds
149,Sabang,ID,5.8933,95.3214,82.58,73,100,14.41,overcast clouds
150,Esperance,AU,-33.8667,121.9,61.88,70,80,15.9,broken clouds
151,Jose De Freitas,BR,-4.7564,-42.5756,77.95,97,62,2.8,moderate rain
